Название товара или услуги,Цена продажи,Артикул,Параметр: Совместимость:,Дополнительне поле: Установка в штатные места,Дополнительне поле: Комплектность,Изображения,Размещение на сайте,old url,Полное описание,Краткое описание,Дополнительне поле: Нужно клеить,Дополнительне поле: Гарантия
Виброшумоизоляционный комплект для задних арок колес,"",Код товара: VS-KVSCHZAK, Универсальный,,"Поставщик заявил следующую комплектность: Виброизоляционный материал Bimast Super - 4 листа, шумопоглощающий материал Бипласт 10 - 2 листа, инструкция по применению","https://granves-shop.ru/images/photos/medium/shop2124-3.jpg, https://granves-shop.ru/images/photos/medium/shop2124-4.jpg, https://granves-shop.ru/images/photos/medium/shop2124-5.jpg",Главная → Шумоизоляция,https://granves-shop.ru/shop/shumoizoljacija/vibroshumoizoljacionnyi-komplekt-dlja-zadnih-arok-koles.html,"<p>Виброшумоизоляционный комплект для задних арок колес</p>
<p>&nbsp,</p>
<p>Виброшумоизоляционный комплект для обклейки арок колёс с внутренней стороны .</p>
<p>&nbsp,</p>
<p><strong>Установка:</strong></p>
<p>Последовательность установки- первый слой битумно-мастичный (4мм), второй шумопоглотитель (10мм) довольно приятный на ощупь.  Необходимо, первый слой немного погреть феном, после чего он прилипнет намертво. Далее,поверх него второй слой.</p>
<p>&nbsp,</p>
<p><strong>Комплект:</strong></p>
<p>- Виброизоляционный материал Bimast Super- 4 листа</p>
<p>- Шумопоглощающий материал Бипласт 10- 2 листа</p>
<p>- Инструкция по применению</p>",,,
Карпет автомобильный 100х150,"",Код товара: M01ALSU10356,,Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Цельный лист,"https://granves-shop.ru/images/photos/medium/shop2964-10.jpg, https://granves-shop.ru/images/photos/medium/shop2964-11.jpg, https://granves-shop.ru/images/photos/medium/shop2964-12.jpg, https://granves-shop.ru/images/photos/medium/shop2964-13.jpg, https://granves-shop.ru/images/photos/medium/shop2964-7.jpg, https://granves-shop.ru/images/photos/medium/shop2964-8.jpg, https://granves-shop.ru/images/photos/medium/shop2964-9.jpg",Главная → Шумоизоляция,https://granves-shop.ru/shop/v-pomosch-avtomobilistu/vorsovye-vkladyshi-i-kovriki-v-nishi/karpet-avtomobilnyi-100h150.html,"<p>Карпет автомобильный 100х150 см</p>
<p>&nbsp,</p>
<p>Артикул:&nbsp,M01ALSU10356</p>
<p>Материал:&nbsp,карпет</p>
<p>Размеры :&nbsp,длина 150 см,&nbsp,ширина:&nbsp,100 см</p>
<p>&nbsp,</p>
<p>Автомобильный карпет используется для шумоизоляции салона, обшивке пластиковых накладок в салоне автомобиля и багажном отделение,&nbsp,т.к данный материал <span>обладает высокой износостойкостью </span><span><span>экологически безопасен. <br>
</span></span></p>
<p><span><span>Карпетом обшивают акустические полки,&nbsp,</span></span><span>сабвуферы и деревянные конструкции динамиков.</span></p>
<p>&nbsp,</p>
<p><strong><span>Преимущества данного материала:</span></strong></p>
<ul class=""article-render__block article-render__block_ul"">
    <li class=""article-render__block article-render__block_li""><span>не выгорает,</span></li>
    <li class=""article-render__block article-render__block_li""><span>устойчив к пыли и прочим загрязнениям, что особенно важно для общественного транспорта,</span></li>
    <li class=""article-render__block article-render__block_li""><span>хорошая антистатичность,</span></li>
    <li class=""article-render__block article-render__block_li""><span>не боится влаги и плесени, поэтому со временем не стоит бояться того, что покрытие придет в негодность, а акустика закоротит,</span></li>
    <li class=""article-render__block article-render__block_li""><span>отличное шумопоглощение, что позволяет значительно уменьшить в салоне шум от дороги,</span></li>
    <li class=""article-render__block article-render__block_li""><span>со временем не теряет своих свойств.</span></li>
</ul>",,"Данное изделие нужно приклеивать. Ознакомьтесь с нашей инструкцией . Если скотч не нанесен, . Рекомендуем взять в салфетках или .",
"Звукопоглощающий материал Relief 15 (0,75х1м.), STP","",Код товара: 08021-01-00,,Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Лист - 1 шт.,"https://granves-shop.ru/images/photos/medium/shop3932-1.jpg, https://granves-shop.ru/images/photos/medium/shop3932-2.jpg, https://granves-shop.ru/images/photos/medium/shop3932-3.jpg, https://granves-shop.ru/images/photos/medium/shop3932-4.jpg",Главная → Шумоизоляция,https://granves-shop.ru/shop/shumoizoljacija/zvukopogloschayuschii-material-relief-15-0-75h1m-stp.html,"<p>Звукопоглощающий материал Relief 15 (0,75х1м.), STP</p>
<p>&nbsp,</p>
<p>Артикул: 08021-01-00</p>
<p>Производитель:&nbsp,STP&nbsp,(СтандартПласт)</p>
<p>Размер листа: 0,75 х 1 м</p>
<p>Цена:&nbsp,за 1 лист</p>
<p>&nbsp,</p>
<p>&nbsp,</p>
<p>Relief 15 – самоклеющийся звукопоглощающий материал на основе рельефного пенополиуретана, предназначенный для шумоизоляции автомобиля.</p>
<p>&nbsp,</p>
<p><strong>Состав материала:</strong></p>
<div>
<ul>
    <li>Вспененный эластичный пенополиуретан с «волнистой» структурой</li>
    <li>Клеевой монтажный слой</li>
    <li>Защитная антиадгезионная пленка</li>
</ul>
</div>
<div>
<div>
<div><strong>Преимущества:</strong>
<div>
<ul>
    <li>Не имеет эффекта памяти</li>
    <li>Способен снижать вибрации тонких пластиковых элементов салона</li>
    <li>Нивелирует скрипы</li>
    <li>Удерживает тепло</li>
</ul>
</div>
</div>
</div>
</div>
<p><strong>Технические характеристики:</strong></p>
<ul>
    <li>Толщина листа 15 мм</li>
    <li>Размер листа 0.75 х 1 м</li>
    <li>Количество листов в упаковке 10 шт.</li>
    <li>Масса на м² 0.3 кг</li>
</ul>
<div>&nbsp,</div>
<div><strong>Рекомендуемые зоны обработки: Багажник, Двери, Крыша, Крышка багажника</strong></div>",,"Данное изделие нужно приклеивать. Ознакомьтесь с нашей инструкцией . Если скотч не нанесен, . Рекомендуем взять в салфетках или .",
"Изолента для жгутирования проводки 19 мм*10 м, антискрип","",Код товара: AAT-F-02,,,Поставщик заявил следующую комплектность: Изолента - 1 шт.,https://granves-shop.ru/images/photos/medium/shop4133-1.jpg,Главная → Шумоизоляция,https://granves-shop.ru/shop/shumoizoljacija/izolenta-dlja-zhgutirovanija-provodki-19-mm-10-m-antiskrip.html,"<p>Изолента для жгутирования проводки 19 мм*10 м, антискрип, AirLine</p>
<p>&nbsp,</p>
<p>Артикул: AAT-F-02</p>
<p>Производитель:&nbsp,AIrLine</p>
<p>Размеры:&nbsp,Ширина - 19мм,&nbsp,Длина - 10м</p>
<p>Цена:&nbsp,за 1 шт.</p>
<p>&nbsp,</p>
<p>Применяется для бандажирования или жгутирования электопроводки в  салоне автомобиля. Подходит для ручного и автоматического использования. </p>
<p>Ленту высоко оценили автомобилисты и профессиональные установщики  сигнализаций, автозвука и шумоизоляции за свои шумопоглощающие свойства.  </p>
<p>Также эта лента отлично гасит вибрацию. Такой тип профессиональной  ленты широко применяют мировые автопроизводители. <br>
<br>
<strong>Преимущества:</strong></p>
<ul>
    <li>Высокий коэффициент шумоизоляции и шумопоглощения,</li>
    <li>Очень мягкая основа,</li>
    <li>Высокая стойкость к истиранию и старению,</li>
    <li>Хорошая адгезия,</li>
    <li>Гибкая и эластичная,</li>
    <li>Термостойкость +125°С,</li>
    <li>Подавляет вибрации.</li>
</ul>","Внимание! Срок поставки этой позиции может отличаться от стандартного и составлять до <span style=""color: red"">5</span> рабочих дней<br><font size=""1"">При отстутствии товара на основном складе цена может измениться и подлежит уточнению!</font>",,
"Антискрип Битопласт А 5 К (лента) 15х2000 мм., STP","",Код товара: 02852-02-00,,Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Лента - 1 шт.,"https://granves-shop.ru/images/photos/medium/shop3925-2.jpg, https://granves-shop.ru/images/photos/medium/shop3925-3.jpg, https://granves-shop.ru/images/photos/medium/shop3925-4.jpg, https://granves-shop.ru/images/photos/medium/shop3925-5.jpg, https://granves-shop.ru/images/photos/medium/shop3925-6.jpg",Главная → Шумоизоляция,https://granves-shop.ru/shop/shumoizoljacija/antiskrip-bitoplast-a-5-k-lenta-15h2000-mm-stp.html,"<p>Антискрип Битопласт А 5 К (лента) 15х2000 мм., STP</p>
<p>&nbsp,</p>
<p>Артикул:&nbsp,02852-02-00</p>
<p>Производитель:&nbsp,STP&nbsp,(СтандартПласт)</p>
<p>Размер ленты: 15х2000 мм</p>
<p>Цена:&nbsp,за 1 ленту</p>
<p>&nbsp,</p>
<p>Материал представляет собой двухметровую ленту стандартного Битопласта в толщине 5 мм. В данной модификации используется исключительно как уплотнительный и антискрипный материал.</p>
<p>&nbsp,</p>
<div>
<div>
<div><strong>Состав материала:</strong>
<div>
<ul>
    <li>Пенополиуретан с битумной пропиткой</li>
    <li>Клеевой монтажный слой</li>
    <li>Защитная антиадгезионная пленка</li>
</ul>
</div>
</div>
</div>
</div>
<div>
<div>
<div><strong>Преимущества:</strong>
<div>
<ul>
    <li>Пропиточная композиция не имеет запаха</li>
    <li>Долговечен</li>
    <li>Не подвержен разложению при низких температурах (до – 50 ºС)</li>
    <li>Устраняет скрипы и дребезг в салоне</li>
</ul>
</div>
</div>
</div>
<div>
<p><strong>Характеристики:</strong></p>
<div>Толщина ленты 5 мм</div>
<div>Размер ленты 0.015 х 2 м</div>
<div>Масса на м² 0.4 кг</div>
<div>Время кондиционирования («вылеживания») 24 ч.</div>
<div>Температура кондиционирования (20 ± 5) °C</div>
<p>&nbsp,</p>
</div>
</div>
<div><strong>Рекомендуемая зоны обработки: Двери, Крышка багажника</strong></div>",,"Данное изделие нужно приклеивать. Ознакомьтесь с нашей инструкцией . Если скотч не нанесен, . Рекомендуем взять в салфетках или .",
"Антискрип Маделин - Н (1 х 1.75 м), STP","",Код товара: 00036-02-00,,Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Лист - 1 шт.,"https://granves-shop.ru/images/photos/medium/shop3923-1.jpg, https://granves-shop.ru/images/photos/medium/shop3923-2.jpg, https://granves-shop.ru/images/photos/medium/shop3923-3.jpg, https://granves-shop.ru/images/photos/medium/shop3923-4.jpg, https://granves-shop.ru/images/photos/medium/shop3923-5.jpg, https://granves-shop.ru/images/photos/medium/shop3923-6.jpg",Главная → Шумоизоляция,https://granves-shop.ru/shop/shumoizoljacija/antiskrip-madelin-n-1-h-1-75-m-stp.html,"<p>Антискрип Маделин - Н (1 х 1.75 м), STP</p>
<p>&nbsp,</p>
<p>Артикул: 00036-02-00</p>
<p>Производитель:&nbsp,STP&nbsp,(СтандартПласт)</p>
<p>Размер листа: 1 х 1.75 м</p>
<p>Цена:&nbsp,за 1 лист</p>
<p>&nbsp,</p>
<p>Прокладочно - уплотнительный материал для обработки пластиковых обшивок и воздуховодов автомобиля.</p>
<p>&nbsp,</p>
<div>
<div><strong>Состав материала:</strong></div>
</div>
<div>
<ul>
    <li>Уплотнительный декоративный материал на основе нетканого полотна</li>
    <li>Клеевой монтажный слой</li>
    <li>Защитная антиадгезионная пленка</li>
</ul>
<p><strong>Технические характеристики:</strong></p>
<ul>
    <li>Толщина изделия 1,5 мм</li>
    <li>Размер изделия 1 х 1.75 м</li>
    <li>Масса на м² 0.34 кг</li>
    <li>Время кондиционирования («вылеживания») 24 ч.</li>
    <li>Температура кондиционирования (20 ± 5) °C</li>
</ul>
<p>&nbsp,</p>
</div>
<div><strong>Рекомендуемая зоны обработки: Двери, Крышка багажника</strong></div>",,"Данное изделие нужно приклеивать. Ознакомьтесь с нашей инструкцией . Если скотч не нанесен, . Рекомендуем взять в салфетках или .",
"Вибродемпфирующий материал GB 3 (0,75х0,47м.), STP","",Код товара: 00670-09-00,,Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Лист - 1 шт.,"https://granves-shop.ru/images/photos/medium/shop3935-1.jpg, https://granves-shop.ru/images/photos/medium/shop3935-2.jpg, https://granves-shop.ru/images/photos/medium/shop3935-3.jpg",Главная → Шумоизоляция,https://granves-shop.ru/shop/shumoizoljacija/vibrodempfiruyuschii-material-gb-3-0-75h0-47m-stp.html,"<p>Вибродемпфирующий материал GB 3 (0,75х0,47м.), STP</p>
<p>&nbsp,</p>
<p>Артикул:&nbsp,00670-09-00</p>
<p>Производитель:&nbsp,STP&nbsp,(СтандартПласт)</p>
<p>Размер листа: 0,75 х 0,47 м</p>
<p>Цена:&nbsp,за 1 лист</p>
<p>&nbsp,</p>
<p>GB – легендарный вибропоглощающий материал для шумоизоляции автомобиля.</p>
<div>
<div>
<div>&nbsp,</div>
<div><strong>Состав материала:</strong>
<div>
<ul>
    <li>Алюминиевая фольга</li>
    <li>Липкий полимерный слой</li>
    <li>Защитная антиадгезионная бумага</li>
</ul>
</div>
</div>
</div>
</div>
<div>
<div>
<div><strong>&nbsp,Преимущества:</strong>
<div>
<ul>
    <li>Отличная коррозионная стойкость</li>
    <li>Два пика КМП</li>
    <li>Повышенная пластичность</li>
    <li>Высокая теплостойкость</li>
    <li>Нарастающая адгезия</li>
</ul>
</div>
</div>
</div>
<div>
<p><strong>Технические характеристики:</strong></p>
<ul>
    <li>Толщина листа 3 мм</li>
    <li>Размер листа 0.75 x 0.47 м</li>
    <li>Масса на м² 5.25 кг</li>
    <li>Масса одного листа 1.85 кг</li>
    <li>КМП при +20°C 0.25 усл. ед.</li>
    <li>Температурный диапазон использования от -45 до +100°С, допускается кратковременное воздействие температур до +190°С</li>
    <li>Время кондиционирования («вылеживания») 24 ч.</li>
    <li>Температура кондиционирования (20 ± 5) °C</li>
</ul>
<div>&nbsp,</div>
<div>&nbsp,</div>
</div>
</div>
<div><strong>Рекомендуемые зоны обработки:&nbsp,Багажник, Пол</strong></div>
<div>&nbsp,</div>
<div>&nbsp,</div>
<h4>Видеообзор STP&nbsp,GB:</h4>
<p><iframe src=""https://www.youtube.com/embed/t9Et_jgglJA"" title=""YouTube video player"" allow=""accelerometer, autoplay, clipboard-write, encrypted-media, gyroscope, picture-in-picture"" allowfullscreen="""" width=""560"" height=""315"" frameborder=""0""></iframe></p>",,,
"Вибродемпфирующий материал StP Silver 2,0 NEW (0,75х0,47м.)","",Код товара: 05586-02-00,,Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Лист - 1 шт.,"https://granves-shop.ru/images/photos/medium/shop3937-1.jpg, https://granves-shop.ru/images/photos/medium/shop3937-2.jpg, https://granves-shop.ru/images/photos/medium/shop3937-3.jpg, https://granves-shop.ru/images/photos/medium/shop3937-4.jpg, https://granves-shop.ru/images/photos/medium/shop3937-5.jpg",Главная → Шумоизоляция,https://granves-shop.ru/shop/shumoizoljacija/vibrodempfiruyuschii-material-stp-silver-2-0-new-0-75h0-47m.html,"<p>Вибродемпфирующий материал StP Silver 2,0 NEW (0,75х0,47м.)</p>
<p>&nbsp,</p>
<p>Артикул:&nbsp,05586-02-00</p>
<p>Производитель:&nbsp,STP&nbsp,(СтандартПласт)</p>
<p>Размер листа: 0,75 х 0,47 м</p>
<p>Цена:&nbsp,за 1 лист</p>
<p>&nbsp,</p>
<p>StP Silver 2,0 New – самоклеящийся вибропоглощающий мастичный материал, предназначенный для шумоизоляции автомобиля.</p>
<div>
<div>
<div>&nbsp,</div>
<div><strong>Состав материала:</strong>
<div>
<ul>
    <li>Слой алюминиевой фольги</li>
    <li>Липкий полимерный слой</li>
    <li>Защитная антиадгезионная бумага</li>
</ul>
</div>
</div>
</div>
</div>
<div>
<div>
<div><strong>&nbsp,Преимущества:</strong>
<div>
<ul>
    <li>Обладает герметизирующими свойствами</li>
    <li>Защищает кузов автомобиля от коррозии</li>
    <li>Не требует нагрева при монтаже</li>
</ul>
</div>
</div>
</div>
<div>
<p><strong>Технические характеристики:</strong></p>
<ol>
    <li>Толщина листа 2 мм</li>
    <li>Размер листа 0.75 x 0.47 м</li>
    <li>Масса на м² 3,5 кг</li>
    <li>Масса одного листа 1.23 кг</li>
    <li>КМП при +20°C 0.33 усл. ед.</li>
    <li>Температурный диапазон использования от -45 до +100°С, допускается кратковременное воздействие температур до +190°С</li>
    <li>Время кондиционирования («вылеживания») 24 ч.</li>
    <li>Температура кондиционирования (20 ± 5) °C</li>
</ol>
<div>&nbsp,</div>
<div>&nbsp,</div>
</div>
</div>
<div><strong>Рекомендуемые зоны обработки:&nbsp,<span class=""description__zone"">Арки (внешняя обработка), Двери, Капот, Крыша, Крышка багажника</span></strong></div>
<p>&nbsp,</p>
<h4><strong>Видеообзор STP Silver New:</strong></h4>
<p><iframe src=""https://www.youtube.com/embed/HfrwAAoP5-4"" title=""YouTube video player"" allow=""accelerometer, autoplay, clipboard-write, encrypted-media, gyroscope, picture-in-picture"" allowfullscreen="""" width=""560"" height=""315"" frameborder=""0""></iframe></p>",,"Данное изделие нужно приклеивать. Ознакомьтесь с нашей инструкцией . Если скотч не нанесен, . Рекомендуем взять в салфетках или .",
"Звукопоглощающий материал Accent Premium 6 (0,75х1м.), STP","",Код товара: 05913-02-00,,Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Лист - 1 шт.,"https://granves-shop.ru/images/photos/medium/shop3928-1.jpg, https://granves-shop.ru/images/photos/medium/shop3928-2.jpg, https://granves-shop.ru/images/photos/medium/shop3928-3.jpg, https://granves-shop.ru/images/photos/medium/shop3928-4.jpg, https://granves-shop.ru/images/photos/medium/shop3928-5.jpg",Главная → Шумоизоляция,https://granves-shop.ru/shop/shumoizoljacija/zvukopogloshayuschii-material-accent-premium-6-0-75h1m-stp.html,"<p>Звукопоглощающий материал Accent Premium 6 (0,75х1м.), STP</p>
<p>&nbsp,</p>
<p>Артикул: 05913-02-00</p>
<p>Производитель:&nbsp,STP&nbsp,(СтандартПласт)</p>
<p>Размер листа: 0,75 х 1 м</p>
<p>Цена:&nbsp,за 1 лист</p>
<p>Документы:&nbsp,<a href=""https://yadi.sk/i/otIzWeZaHpvvyA"">Рекомендации по монтажу</a></p>
<p>&nbsp,</p>
<p>Accent Premium 6 – звукопоглощающий самоклеящийся материал с улучшенным характеристиками. Обладает теплоизоляционными свойствами.&nbsp,</p>
<p>&nbsp,</p>
<p><strong>Состав материала:</strong></p>
<div>
<div>
<ul>
    <li>Лавсановая плёнка черного цвета с золотым логотипом StP</li>
    <li>Вспененный полимерный слой с двойной иглопробивкой</li>
    <li>Влагостойкий клеевой слой в виде тонкого слоя герметика зеленого цвета, защищенного антиадгезионной бумагой</li>
</ul>
</div>
</div>
<div>
<div>
<div><strong>Преимущества:</strong></div>
</div>
<div>
<ul>
    <li>Обладает теплоизолирующими свойствами</li>
    <li>Негигроскопичен</li>
</ul>
</div>
</div>
<p><strong>Технические характеристики:</strong></p>
<ul>
    <li>Толщина листа 6 мм</li>
    <li>Размер листа 0.75 х 1 м</li>
    <li>Масса на м² 0.3 кг</li>
    <li>Масса одного листа 0.225 кг</li>
    <li>Время кондиционирования («вылеживания») 24 ч.</li>
    <li>Температура кондиционирования (20 ± 5) °C</li>
    <li>Температурный диапазон использования от -30 до +90°С</li>
    <li>Коэффициент звукопоглощения 0.20 усл. ед.</li>
</ul>
<div>&nbsp,</div>
<div><strong>Рекомендуемые зоны обработки: Багажник, Пол</strong></div>
<p>&nbsp,</p>
<h4>Видеообзор Accent Premium 6:</h4>
<p><iframe src=""https://www.youtube.com/embed/UxOYEtoDw3E"" title=""YouTube video player"" allow=""accelerometer, autoplay, clipboard-write, encrypted-media, gyroscope, picture-in-picture"" allowfullscreen="""" width=""560"" height=""315"" frameborder=""0""></iframe></p>",,"Данное изделие нужно приклеивать. Ознакомьтесь с нашей инструкцией . Если скотч не нанесен, . Рекомендуем взять в салфетках или .",
"Звукопоглощающий материал Biplast Premium 15 A (armor) (0,75х1м.), STP","",Код товара: 00915-01-00,,Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Лист - 1 шт.,"https://granves-shop.ru/images/photos/medium/shop3929-1.jpg, https://granves-shop.ru/images/photos/medium/shop3929-2.jpg, https://granves-shop.ru/images/photos/medium/shop3929-3.jpg",Главная → Шумоизоляция,https://granves-shop.ru/shop/shumoizoljacija/zvukopogloschayuschii-material-biplast-premium-15-a-armor-0-75h1m-stp.html,"<p>Звукопоглощающий материал Biplast Premium 15 A (armor) (0,75х1м.), STP</p>
<p>&nbsp,</p>
<p>Артикул: 00915-01-00</p>
<p>Производитель:&nbsp,STP&nbsp,(СтандартПласт)</p>
<p>Размер листа: 0,75 х 1 м</p>
<p>Цена:&nbsp,за 1 лист</p>
<p>&nbsp,</p>
<p>Biplast Premium 15A (armor) – звукопоглощающий вспененный полиуретан с армированным, влагостойким, термостойким клеевым слоем, предназначенный для шумоизоляции автомобиля.</p>
<p>&nbsp,</p>
<p><strong>Состав материала:</strong></p>
<div>
<ul>
    <li>Вспененный вязко-эластичный полиуретан с волнообразной поверхностью</li>
    <li>Армированный клеевой слой</li>
    <li>Защитная антиадгезионная пленка</li>
</ul>
</div>
<div>
<div>
<div><strong>Преимущества:</strong>
<div>
<ul>
    <li>Легко монтируется на поверхности со сложным рельефом</li>
    <li>Восстанавливается после монтажа, повторяя форму обратной поверхности, полностью заполняя пространство</li>
    <li>Высокоэффективное звукопоглощение от 250 до 6300 Гц</li>
    <li>Устраняет скрипы в салоне автомобиля</li>
    <li>Снижает вибрации пластиковых панелей автомобиля</li>
    <li>Обладает низким коэффициентом теплопроводности</li>
</ul>
</div>
</div>
</div>
</div>
<p><strong>Технические характеристики:</strong></p>
<ul>
    <li>Толщина листа 15 мм</li>
    <li>Размер листа 0.75 х 1 м</li>
    <li>Масса на м² не более 0.9 кг</li>
    <li>Масса листа 0.4 кг</li>
    <li>Площадь листа 0.72 м²</li>
    <li>Время кондиционирования («вылеживания») 24 ч.</li>
    <li>Температура кондиционирования (20 ± 5) °C</li>
</ul>
<div>&nbsp,</div>
<div><strong>Рекомендуемые зоны обработки: Багажник, Двери, Крыша, Крышка багажника</strong></div>",,"Данное изделие нужно приклеивать. Ознакомьтесь с нашей инструкцией . Если скотч не нанесен, . Рекомендуем взять в салфетках или .",
"Уплотнительный материал BlackTon 6 (0,75х1м.)","",Код товара: 05738-02-00,,Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Лист - 1 шт.,"https://granves-shop.ru/images/photos/medium/shop3921-1.jpg, https://granves-shop.ru/images/photos/medium/shop3921-2.jpg, https://granves-shop.ru/images/photos/medium/shop3921-3.jpg, https://granves-shop.ru/images/photos/medium/shop3921-4.jpg, https://granves-shop.ru/images/photos/medium/shop3921-5.jpg",Главная → Шумоизоляция,https://granves-shop.ru/shop/shumoizoljacija/uplotnitelnyi-material-blackton-6-0-75h1m.html,"<p>Уплотнительный материал BlackTon 6 (0,75х1м.)</p>
<p>&nbsp,</p>
<p>Артикул:&nbsp,05738-02-00</p>
<p>Производитель:&nbsp,STP&nbsp,(СтандартПласт)</p>
<p>Размер листа: 0,75 х 1 м</p>
<p>Цена:&nbsp,за 1 лист</p>
<p>Документы:&nbsp,<a href=""https://yadi.sk/i/xbKHCfEioRhCuw"">Рекомендации по монтажу</a></p>
<p>&nbsp,</p>
<p>Звукопоглощающий материал из вторичного пенополиуретана,  предназначенный для шумоизоляции автомобиля. Может быть использован в  качестве уплотнителя.</p>
<p>&nbsp,</p>
<p><strong>Состав материала:</strong></p>
<div>
<div>
<ul>
    <li>Вторичный вязкоэластичный пенополиуретан</li>
    <li>Водостойкий клеевой слой</li>
    <li>Защитная антиадгезионная пленка</li>
</ul>
</div>
</div>
<div>
<div>
<div><strong>Преимущества:</strong></div>
</div>
<div>
<ul>
    <li>Плотность материала 200 кг./м³</li>
    <li>Обладает теплосберегающими свойствами, легко монтируется на изогнутые поверхности</li>
    <li>Не имеет запаха</li>
    <li>Экологически безопасен</li>
</ul>
<p><strong>Технические характеристики:</strong></p>
<ul>
    <li>Размер листа 0.75 x 1 м</li>
    <li>Толщина 6 мм</li>
    <li>Время кондиционирования («вылеживания») 24 ч.</li>
    <li>Температура кондиционирования (20 ± 5) °C</li>
</ul>
<div>&nbsp,</div>
</div>
</div>
<p><strong>Рекомендуемая зоны обработки: Багажник, Двери</strong></p>",,"Данное изделие нужно приклеивать. Ознакомьтесь с нашей инструкцией . Если скотч не нанесен, . Рекомендуем взять в салфетках или .",
"Звукопоглощающий материал Битопласт А 5 К (0,75х1м.), STP","",Код товара: 00017-06-00,,Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Лист - 1 шт.,"https://granves-shop.ru/images/photos/medium/shop3931-1.jpg, https://granves-shop.ru/images/photos/medium/shop3931-2.jpg, https://granves-shop.ru/images/photos/medium/shop3931-3.jpg",Главная → Шумоизоляция,https://granves-shop.ru/shop/shumoizoljacija/zvukopogloschayuschii-material-bitoplast-a-5-k-0-75h1m-stp.html,"<p>Звукопоглощающий материал Битопласт А 5 К (0,75х1м.), STP</p>
<p>&nbsp,</p>
<p>Артикул: 00017-06-00</p>
<p>Производитель:&nbsp,STP&nbsp,(СтандартПласт)</p>
<p>Размер листа: 0,75 х 1 м</p>
<p>Цена:&nbsp,за 1 лист</p>
<p>&nbsp,</p>
<p>Битопласт А 10 К – звукопоглощающий уплотнительный материал с клеевым монтажным слоем, который представляет собой вспененный полиуретан с битумной пропиткой.</p>
<p>&nbsp,</p>
<p><strong>Состав материала:</strong></p>
<div>
<ul>
    <li>Пенополиуретан с битумной пропиткой</li>
    <li>Клеевой монтажный слой</li>
    <li>Защитная антиадгезионная пленка.</li>
</ul>
</div>
<div>
<div>
<div><strong>Преимущества:</strong>
<div>
<ul>
    <li>Не имеет эффекта памяти</li>
    <li>Обладает теплоизолирующими свойствами</li>
    <li>Устраняет скрипы пластиковых деталей</li>
</ul>
</div>
</div>
</div>
</div>
<p><strong>Технические характеристики:</strong></p>
<ul>
    <li>Толщина листа 5 мм</li>
    <li>Размер листа 0.75 х 1 м</li>
    <li>Масса на м² 0.4 кг</li>
    <li>Масса одного листа 0.3 кг</li>
    <li>Время кондиционирования («вылеживания») 24 ч.</li>
    <li>Температура кондиционирования (20 ± 5) °C</li>
</ul>
<div>&nbsp,</div>
<div><strong>Рекомендуемые зоны обработки: Багажник, Двери, Крыша, Крышка багажника</strong></div>
<div>&nbsp,</div>
<div>&nbsp,</div>
<h4>Видеообзор Битопласт:</h4>
<p><iframe src=""https://www.youtube.com/embed/QkFlvmf4tlk"" title=""YouTube video player"" allow=""accelerometer, autoplay, clipboard-write, encrypted-media, gyroscope, picture-in-picture"" allowfullscreen="""" width=""560"" height=""315"" frameborder=""0""></iframe></p>",,"Данное изделие нужно приклеивать. Ознакомьтесь с нашей инструкцией . Если скотч не нанесен, . Рекомендуем взять в салфетках или .",
